,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,jamestown,90,US,1579886810,41,45.0,42.1,-79.24,6.93
1,marzuq,70,YE,1579886940,80,64.47,14.4,46.47,2.04
2,yishui,100,CN,1579886940,63,30.16,35.78,118.63,1.86
3,hobart,99,AU,1579886655,55,60.8,-42.88,147.33,9.17
4,namibe,0,AO,1579886940,77,75.51,-15.2,12.15,11.43
5,punta arenas,90,CL,1579886934,87,44.6,-53.15,-70.92,11.41
6,kuching,75,MY,1579886940,88,78.8,1.55,110.33,2.24
7,hilo,90,US,1579886940,73,69.8,19.73,-155.09,4.7
8,rikitea,0,PF,1579886941,71,78.08,-23.12,-134.97,18.45
9,pevek,0,RU,1579886664,97,-27.89,69.7,170.31,1.81
10,nyurba,65,RU,1579886941,94,-32.76,63.28,118.33,6.13
11,asopos,0,GR,1579886941,63,48.58,36.73,22.87,5.28
12,meulaboh,50,ID,1579886941,68,84.67,4.14,96.13,1.32
13,eufaula,90,US,1579886941,93,64.4,31.89,-85.15,2.24
14,avarua,83,CK,1579886919,94,80.6,-21.21,-159.78,9.17
15,puerto ayora,40,EC,1579886892,58,86.0,-0.74,-90.35,16.11
16,georgetown,20,MY,1579886942,69,84.0,5.41,100.34,2.24
17,sembakung,65,ID,1579886942,90,76.51,3.82,117.25,2.46
18,castro,26,BR,1579886936,61,74.53,-24.79,-50.01,6.71
19,busselton,80,AU,1579886884,78,61.0,-33.65,115.33,11.5
20,nanchang,100,CN,1579886942,92,47.77,28.68,115.88,10.83
21,brae,20,GB,1579886942,86,44.6,60.4,-1.35,10.29
22,bethel,1,US,1579886915,36,52.0,41.37,-73.41,3.36
23,carnarvon,0,AU,1579886943,61,80.6,-24.87,113.63,17.22
24,kapaa,1,US,1579886943,88,66.2,22.08,-159.32,8.05
25,hofn,20,IS,1579886943,63,30.2,64.25,-15.21,5.82
26,kudahuvadhoo,100,MV,1579886943,82,83.03,2.67,72.89,18.68
27,port alfred,67,ZA,1579886731,91,66.99,-33.59,26.89,1.99
28,kodiak,1,US,1579886712,56,15.8,57.79,-152.41,18.34
29,norman wells,90,CA,1579886663,83,-7.6,65.28,-126.83,4.7
30,korem,100,ET,1579886944,95,53.92,12.51,39.52,6.08
31,hermanus,0,ZA,1579886944,81,73.0,-34.42,19.23,5.99
32,safford,1,US,1579886944,66,51.01,32.83,-109.71,9.17
33,upernavik,30,GL,1579886896,89,-13.49,72.79,-56.15,4.54
34,cherskiy,65,RU,1579886944,97,-37.39,68.75,161.3,3.96
35,warrington,75,GB,1579886912,100,45.0,53.39,-2.58,4.7
36,chokurdakh,0,RU,1579886883,88,-35.1,70.63,147.92,4.68
37,dikson,100,RU,1579886945,96,-3.57,73.51,80.55,8.43
38,warmbad,0,NA,1579886945,45,73.47,-28.45,18.73,22.41
39,kaitangata,100,NZ,1579886945,70,68.0,-46.28,169.85,7.25
40,ribeira grande,75,PT,1579886725,67,59.0,38.52,-28.7,8.05
41,carnduff,5,CA,1579886945,93,17.01,49.17,-101.8,4.0
42,tessalit,99,ML,1579886945,9,82.15,20.2,1.01,7.29
43,nuevo progreso,26,MX,1579886799,83,70.0,23.17,-97.95,4.0
44,albany,75,US,1579886803,55,48.99,42.6,-73.97,4.7
45,ichhawar,0,IN,1579886946,76,57.2,23.02,77.02,3.36
46,ponta do sol,40,PT,1579886911,55,62.6,32.67,-17.1,6.93
47,tasiilaq,75,GL,1579886673,57,19.4,65.61,-37.64,31.09
48,manado,20,ID,1579886679,94,75.2,1.49,124.85,2.24
49,victoria,40,HK,1579886922,83,73.0,22.29,114.16,13.87
50,mar del plata,20,AR,1579886899,41,91.4,-38.0,-57.56,23.04
51,saldanha,0,ZA,1579886946,54,78.8,-33.01,17.94,8.05
52,pozo colorado,7,PY,1579886947,26,97.95,-23.49,-58.8,8.59
53,ust-nera,87,RU,1579886947,100,-44.09,64.57,143.2,1.25
54,abu samrah,0,SY,1579886947,50,37.6,35.3,37.18,7.54
55,bredasdorp,0,ZA,1579886879,77,73.0,-34.53,20.04,4.7
56,vaini,20,TO,1579886947,88,77.0,-21.2,-175.2,6.93
57,tuy hoa,100,VN,1579886947,81,76.46,13.08,109.3,8.21
58,pacific grove,1,US,1579886947,81,57.0,36.62,-121.92,11.72
59,henties bay,0,NA,1579886947,87,70.0,-22.12,14.28,5.99
60,barrow,1,US,1579886948,74,-22.0,71.29,-156.79,8.05
61,laguna,75,US,1579886948,93,57.0,38.42,-121.42,3.24
62,petukhovo,76,RU,1579886948,93,5.56,55.07,67.9,8.01
63,manta,75,EC,1579886948,74,86.0,-0.95,-80.73,6.93
64,saskylakh,100,RU,1579886689,87,-27.94,71.92,114.08,22.28
65,sao filipe,2,CV,1579886664,67,74.61,14.9,-24.5,16.67
