,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,okha,0,RU,1579796382,96,-11.38,53.57,142.95,6.42
1,otradnoye,73,RU,1579796382,67,32.0,59.78,30.82,8.95
2,nouakchott,100,MR,1579796304,9,93.2,18.09,-15.98,12.75
3,dikson,100,RU,1579796382,97,-12.12,73.51,80.55,14.43
4,aklavik,20,CA,1579796382,74,-22.0,68.22,-135.01,5.82
5,vaini,40,TO,1579796382,88,77.0,-21.2,-175.2,2.24
6,carnarvon,0,AU,1579796160,78,77.0,-24.87,113.63,20.8
7,san quintin,0,MX,1579796383,89,54.36,30.48,-115.95,1.88
8,olafsvik,100,IS,1579796383,60,29.86,64.89,-23.71,51.16
9,ribeira grande,75,PT,1579796383,67,59.0,38.52,-28.7,6.93
10,busselton,0,AU,1579796384,49,61.0,-33.65,115.33,13.22
11,albany,75,US,1579796384,68,37.0,42.6,-73.97,1.45
12,talnakh,75,RU,1579796151,84,1.4,69.49,88.4,22.37
13,faanui,71,PF,1579796210,78,81.59,-16.48,-151.75,12.03
14,kodiak,90,US,1579796384,57,23.0,57.79,-152.41,16.11
15,tuatapere,60,NZ,1579796385,92,54.0,-46.13,167.68,1.01
16,puerto ayora,20,EC,1579796385,74,80.6,-0.74,-90.35,6.93
17,khatanga,100,RU,1579796385,85,-28.05,71.97,102.5,9.46
18,chokurdakh,60,RU,1579796385,93,-31.58,70.63,147.92,8.79
19,bubaque,95,GW,1579796385,49,82.22,11.28,-15.83,5.01
20,atuona,6,PF,1579796385,78,80.65,-9.8,-139.03,13.51
21,kruisfontein,58,ZA,1579796385,66,70.45,-34.0,24.73,18.07
22,coihaique,75,CL,1579796386,45,62.6,-45.58,-72.07,17.22
23,yerbogachen,100,RU,1579796386,95,-6.95,61.28,108.01,7.4
24,bluff,5,NZ,1579796386,92,54.0,-46.6,168.33,1.01
25,mount isa,100,AU,1579796386,78,80.6,-20.73,139.5,10.29
26,leningradskiy,59,RU,1579796136,85,-23.85,69.38,178.42,1.32
27,thinadhoo,100,MV,1579796386,81,84.22,0.53,72.93,18.05
28,salalah,75,OM,1579796387,73,77.0,17.02,54.09,6.93
29,cape town,0,ZA,1579796263,39,82.99,-33.93,18.42,17.22
30,new norfolk,8,AU,1579796387,58,54.0,-42.78,147.06,13.87
31,saldanha,0,ZA,1579796387,30,86.0,-33.01,17.94,19.46
32,sobolevo,0,RU,1579796387,61,27.63,54.43,31.9,12.62
33,nanortalik,100,GL,1579796387,61,22.95,60.14,-45.24,4.23
34,tiksi,26,RU,1579796134,84,-28.59,71.69,128.87,3.6
35,sawakin,0,SD,1579796388,60,71.37,19.11,37.33,19.37
36,taoudenni,74,ML,1579796388,12,86.27,22.68,-3.98,6.6
37,hasaki,75,JP,1579796388,100,46.4,35.73,140.83,8.05
38,rikitea,0,PF,1579796388,79,78.84,-23.12,-134.97,18.57
39,samoded,98,RU,1579796388,91,22.35,63.61,40.51,9.42
40,reci,88,RO,1579796388,67,30.99,45.85,25.93,5.01
41,buala,0,SB,1579796388,78,78.58,-8.14,159.59,5.19
42,veraval,92,IN,1579796388,56,68.18,20.9,70.37,0.83
43,yashan,1,CN,1579796389,89,66.04,22.2,109.94,7.52
44,astoria,90,US,1579796364,93,53.01,46.19,-123.83,24.16
45,mar del plata,40,AR,1579796111,51,91.0,-38.0,-57.56,13.87
46,bandundu,0,CD,1579796389,39,93.2,-3.32,17.37,7.34
47,male,75,MV,1579796308,83,84.2,4.17,73.51,24.16
48,barrow,1,US,1579796389,76,-11.2,71.29,-156.79,10.29
49,kapaa,1,US,1579796389,88,69.8,22.08,-159.32,5.82
50,cherskiy,100,RU,1579796389,100,-36.35,68.75,161.3,3.24
51,espera feliz,100,BR,1579796390,92,71.38,-20.65,-41.91,5.14
52,kargasok,100,RU,1579796390,93,24.93,59.06,80.86,15.64
53,ruwi,0,OM,1579796390,51,80.6,23.6,58.55,10.29
54,port elizabeth,40,ZA,1579796390,73,71.6,-33.92,25.57,13.87
55,haines junction,100,CA,1579796390,96,0.68,60.75,-137.51,5.68
56,zatoka,20,UA,1579796390,44,39.2,46.07,30.47,20.13
57,bengkulu,99,ID,1579796385,95,74.61,-3.8,102.27,5.28
58,gari,100,RU,1579796391,91,15.94,59.43,62.35,5.99
59,mayumba,17,GA,1579796391,74,84.27,-3.43,10.66,5.06
60,husavik,90,IS,1579796391,54,30.2,66.04,-17.34,57.49
61,bethel,1,US,1579796391,59,41.0,41.37,-73.41,2.24
62,koumra,27,TD,1579796391,6,93.13,8.91,17.55,7.02
63,hofn,20,IS,1579796391,58,32.0,64.25,-15.21,21.92
64,yulara,0,AU,1579796391,28,82.4,-25.24,130.99,13.87
65,saint-philippe,90,RE,1579796392,83,82.4,-21.36,55.77,9.17
66,bowie,90,US,1579796392,100,42.8,33.45,-94.43,9.17
67,petropavlovsk-kamchatskiy,0,RU,1579796392,64,-4.0,53.05,158.65,4.47
68,butaritari,32,KI,1579796136,71,84.07,3.07,172.79,8.37
69,ushuaia,75,AR,1579796392,66,57.2,-54.8,-68.3,3.36
70,karasjok,75,NO,1579796392,92,19.4,69.47,25.51,44.96
71,jamestown,1,US,1579796190,59,35.01,42.1,-79.24,4.7
72,rumuruti,100,KE,1579796393,59,67.87,0.27,36.54,9.53
73,qaanaaq,100,GL,1579796393,91,-5.67,77.48,-69.36,3.2
74,narsaq,75,GL,1579796393,44,17.6,60.92,-46.05,13.87
75,litovko,100,RU,1579796393,98,-1.1,49.24,135.17,5.32
76,ondo,23,NG,1579796393,9,101.39,7.1,4.83,5.21
77,hobart,20,AU,1579796393,58,54.0,-42.88,147.33,13.87
78,punta arenas,40,CL,1579796394,50,59.0,-53.15,-70.92,18.34
79,omsukchan,100,RU,1579796394,99,-36.49,62.53,155.8,4.0
80,acapulco,20,MX,1579796394,78,80.6,16.86,-99.89,3.36
81,avarua,75,CK,1579796195,94,78.8,-21.21,-159.78,9.17
82,neuquen,0,AR,1579796394,33,91.4,-38.95,-68.06,9.17
83,aldan,100,RU,1579796394,91,-23.93,58.6,125.39,6.91
84,palmer,1,US,1579796289,68,41.0,42.16,-72.33,3.36
85,severo-kurilsk,89,RU,1579796315,87,12.29,50.68,156.12,6.53
86,beyneu,100,KZ,1579796395,75,40.12,45.32,55.2,12.88
87,guerrero negro,0,MX,1579796395,81,57.56,27.98,-114.06,3.56
88,thompson,40,CA,1579796208,83,-4.0,55.74,-97.86,3.36
89,bredasdorp,42,ZA,1579796395,60,72.0,-34.53,20.04,19.46
90,pemagatsel,100,BT,1579796395,96,43.02,27.03,91.43,1.14
91,corsicana,90,US,1579796395,93,50.0,32.1,-96.47,10.29
92,cine,0,TR,1579796396,37,51.8,37.61,28.06,13.87
93,soma,40,TR,1579796396,60,42.8,39.19,27.61,11.41
94,provideniya,0,RU,1579796396,79,-14.28,64.38,-173.3,2.17
95,sergeyevka,82,KZ,1579796396,91,23.38,53.88,67.42,9.46
96,arraial do cabo,75,BR,1579796297,78,80.6,-22.97,-42.03,8.05
97,najran,40,SA,1579796396,32,69.8,17.49,44.13,6.93
98,fort nelson,90,CA,1579796397,84,3.2,58.81,-122.7,3.87
99,georgetown,20,MY,1579796100,74,84.2,5.41,100.34,2.24
100,yellowknife,40,CA,1579796395,76,-11.0,62.46,-114.35,6.93
101,hilo,20,US,1579796397,63,66.2,19.73,-155.09,8.05
